"AnimalID","CD4","CD8","CD4.Naive","CD4.Memory","CD4.Effector","CD4.CD25.FoxP3","CD4.CD127lo.CD25","CD4.KI67","CD4.Naive.KI67","CD4.Memory.KI67","CD4.Effector.KI67","CD8.Naive","CD8.Memory","CD8.Effector","CD8.KI67","CD8.Naive.KI67","CD8.Memory.KI67","CD8.Effector.KI67","CD3neg.CD8pos.NKG2a","CD3neg.CD8pos.NKG2a.CD56neg.CD16pos","CD3neg.CD8pos.NKG2a.CD56pos.CD16pos","CD3neg.CD8pos.NKG2a.CD56pos.CD16neg","CD4.CCR5","CD4.Naive.CCR5","CD4.Memory.CCR5","CD4.Effector.CCR5","CD4.38pos.DRpos","CD4.Naive.38pos.DRpos","CD4.Mem.38pos.DRpos","CD4.Effector.38pos.DRpos","CD8.CCR5","CD8.Naive.CCR5","CD8.Memory.CCR5","CD8.Effector.CCR5","CD8.38pos.DRpos","CD8.Naive.38pos.DRpos","CD8.Mem.38pos.DRpos","CD8.Effector.38pos.DRpos","Monocytes.DRpos.CD14pos","Monocytes.DRpos.CD14pos.CD80","Monocytes.DRpos.CD14pos.CD83","Monocytes.DRpos.CD14pos.CD86","Monocytes.DRpos.CD14pos.CD80pos.CD83pos.CD86pos","Bcells","Bcells.CD80","Bcells.CD83","Bcells.CD86","Bcells.CD80pos.CD83pos.CD86pos","mDCs","mDCs.CD80","mDCs.CD83","mDCs.CD86","pDCs","pDCs.CD83","pDCs.CD86","CD4.IFN","CD4.IL4","CD4.IL17","CD4.TNF","CD4.IFNpos.IL4neg.IL17neg.TNFpos","CD8.IFN","CD8.IL4","CD8.IL17","CD8.TNF","CD8.IFNpos.IL4neg.IL17neg.TNFpos","CD4.Mem.IFN","CD4.Mem.IL4","CD4.Mem.IL17","CD4.Mem.TNF","CD4.Mem.IFNpos.IL4neg.IL17neg.TNFpos","CD4.EFF.IFN","CD4.EFF.IL4","CD4.EFF.IL17","CD4.EFF.TNF","CD4.EFF.IFNpos.IL4neg.IL17neg.TNFpos","CD8.Mem.IFN","CD8.Mem.IL4","CD8.Mem.IL17","CD8.Mem.TNF","CD8.Mem.IFNpos.IL4neg.IL17neg.TNFpos","CD8.EFF.IFN","CD8.EFF.IL4","CD8.EFF.IL17","CD8.EFF.TNF","CD8.EFF.IFNpos.IL4neg.IL17neg.TNFpos","CD3pos.CD8pos_NKG2Apos"
44405,78.1,14,63.1,35.1,0.26,0.76,7.3,20.4,4.56,48.8,63.8,41.5,27.9,28.9,28.3,6.37,32.6,55.8,23.5,96.7,0.16,0.053,0.42,0.15,1.71,7.41,0.23,0.082,0.58,3.7,2.48,1.42,3.48,2.56,3.74,2.32,3.48,7.34,0.1,1.52,1.52,24.2,0,88.3,0.068,0.86,2.34,0,7.08,0,0,3.26,3.7,0,0,3.98,0.52,2.28,16.6,2.59,19.3,0.045,6.16,9.25,6.38,15.9,2.32,9.9,58.9,10.3,72.6,3.82,11.5,82.8,58.6,34.3,0.14,6.86,21.1,14,42.5,0,5.31,16.2,11.8,4.14
44418,71.8,19.4,60.1,39.3,0.13,0.82,4.41,13.4,1.71,31.3,34.8,49.6,24.9,24.2,10.8,2.84,16.8,20.6,19.4,90.1,0.2,1.81,0.69,0.13,2.43,0,0.18,0.13,0.2,11.1,2.65,1.92,4.89,0.99,2.55,1.49,3.04,4.22,0.12,0,23.3,47.8,0,67.6,0.18,1.68,0.81,0,2.61,0,0,6.25,2.61,0,0,5.25,0.00318,2.5,16,3.06,20.5,0,2.99,12.2,9.99,12.2,0.009,6.4,38.2,7.25,36.1,0,4.81,63.5,29.8,59.7,0,3.43,43.9,35.8,33.5,0,2.11,13.3,11.8,3.16
44422,82.4,9.49,68.4,30.8,0.44,0.59,4.89,16.1,3.24,44.2,46.8,36.5,25.6,36.5,30.3,7.41,34.3,50.3,11.5,89.3,0.18,0.8,0.71,0.24,3.2,3.85,0.2,0.072,0.43,0,7.67,3.29,13.8,4.25,3.62,1.73,3.65,5.67,2.08,0.2,1.23,4.16,0,89.7,0.12,0.97,1.4,0,5.26,0,0,11.8,2.24,0,0,5.73,0.33,1.52,12.3,4,25,0.17,12.5,13.5,10.6,22.7,1.2,6.19,45.6,16.3,90.9,4.04,4.04,92.9,79.8,54,0.41,10.8,35.3,27,29.3,0.098,9.8,12.9,10.6,4.83
44425,75.6,17.4,57.1,41.5,0.32,2.36,5.13,44,15.6,82.9,63.4,34.5,24.9,37.3,39.3,13.9,56.8,50.8,34.2,94.2,0.44,0.75,0.76,0.37,1.81,2.56,0.57,0.069,1.02,15.4,7,3.51,10.4,4.6,7.61,4.8,7.23,13.3,0.98,0,5,10,0,73,0.099,0.78,1.11,0,4.18,0,0,2.33,2.53,0,0,5.22,0.78,3.5,23.1,3.66,33.2,0.1,4.13,22.4,18,13.2,2.08,10.1,57.1,9.23,61,5.91,7.48,86.2,50.8,56.7,0.19,5.93,48.2,37.5,43.5,0.13,3.02,27,22.6,4
44428,79.6,13.1,70.3,29.1,0.096,0.43,2.24,14.5,3.88,39.9,22.5,56.7,20.5,21.2,12,2.31,27.3,22.5,22.7,84.6,0.12,2.37,0.19,0.16,0.6,0,0.35,0.18,0.68,7.69,0.76,0.66,2.6,0,5.12,3.85,6.8,6.93,1.78,0.13,2.08,5.99,0,81.9,0.32,2.2,1.83,0,1.21,0,0,0,6.9,0,0,4.52,0.00314,2.79,15.6,2.28,18.3,0,1.98,13.2,8.63,9.37,0,8.25,43.4,6.2,42.8,0.72,9.42,76.1,34.1,29.4,0,4.13,27,15.8,27.7,0,2.82,19,11.6,6.05
44434,70.9,18.8,60,37.2,1.36,0.72,5.67,29.6,7.51,64.3,45.8,27.2,19.2,52.5,40.8,14.8,49.7,50.9,40.6,89.2,0.32,1.89,0.6,0.39,1.73,2.66,0.27,0.058,0.48,2.66,5.26,4.87,7.42,2.77,2.42,1.46,2.52,2.92,0.21,0,5,5.83,0,63.3,0.097,1.72,0.93,0,5.36,0,0,1.32,5.43,0,0,4.79,0.19,2.87,14.2,3.55,33.7,0.029,28,22.8,14.9,13,0.56,9.17,38.6,9.12,86.4,1.2,12.8,88.4,69.6,47.4,0.11,27,42.9,25.2,39.2,0,19.3,22.6,16.2,8.29
44435,82.7,9.36,65.1,32.6,0.95,1.87,6.54,22.1,5.51,54.9,33.8,44.2,17.9,35.8,23.8,6.24,38.6,37.5,16.2,95.7,0.49,0.49,0.45,0.29,1.1,7.84,0.33,0.024,0.53,15.7,1.18,0.53,2.62,0.68,5.39,3.96,4.19,10.3,3.9,0,0.63,3.81,0,86.4,0.086,0.95,1.91,0,6.44,0,0,9.38,12.9,0,0,3.46,0.27,2.32,17.7,2.46,18.7,0.059,3.64,9.16,7.1,11,0.94,8.51,52.5,7.68,67.9,0.51,8.67,81.6,59.7,33.8,0.14,3.99,23.9,17.1,40.6,0.13,2.97,15.8,13.2,2.45
44439,86.8,9.6,78.2,21.3,0.069,0.66,3.06,9.45,1.71,37.8,20,70.2,13.5,15.4,6.34,1.6,24.9,11.2,9.42,82.8,2.51,5.69,0.52,0.45,1.12,0,0.1,0.059,0.22,40,1.33,1.09,3.4,1.54,2,0.99,4.11,3.52,0.62,0,6.01,75.3,0,77.8,0.12,3.58,4.79,0,17.5,0,6.35,27.4,2.65,0,0,1.52,0.00225,1.39,12.1,0.96,10.7,0,4.38,5.11,3.77,4.75,0,5.43,38.3,3.38,21.6,0,14.9,64.9,16.2,32.5,0,3.64,22.1,15.9,25.8,0,2.87,8.79,5.92,3.67
44452,78.2,11.1,51.4,46.4,0.48,2.39,5.86,23.6,4.71,45,26.1,36.7,21.1,39.3,36.3,7.72,37.6,63.5,46.9,97.4,0.064,0.4,0.84,0.19,1.95,0,0.21,0.047,0.43,0,2.23,0.83,2.99,2.01,5.95,5,5.22,8.72,1.88,0.22,1.96,9.59,0,63.1,0.19,1.45,1.29,0,7.59,0,0,12.8,3.02,0,0,6.02,0.17,3.44,16.7,3.71,24.6,0.22,6.49,6.77,5.36,13.4,0.44,9.06,38.9,8.6,75,0.48,4.81,70.2,62,37.6,0.34,6.49,18.3,14.1,37.7,0.32,5.28,7.56,5.89,9.86
44454,56.4,33.9,61.1,39.5,0.56,1.45,5.14,33.4,8.63,71.2,57,22.9,17.9,58.3,40.9,8.41,41,53.3,4.8,81.6,0.14,3.66,0.69,0.22,1.64,0,0.57,0.12,1.25,13.2,1.96,2.11,6.06,0.47,7.25,7.45,4.26,8.15,5.15,0,0.93,4.75,0,84.1,0.061,0.82,1.5,0,2.67,0,0,0,2.93,0,2.22,5.41,0.41,1.71,14.8,3.38,29.2,0.18,5.87,13.7,10.7,15.3,1.22,5.65,43,10.5,71,3.63,8.29,77.2,58,40.4,0.58,6.81,29,20,31,0.12,4.17,15.2,11.8,7.91
44468,66.2,15.3,58.2,38.2,2.13,1.1,3.8,20.6,4.93,42.5,54.9,15.5,11,71.6,56.7,12.5,36.4,69.9,35.7,94.7,0.42,0.53,0.39,0.22,1.09,3.3,0.22,0.059,0.34,4.4,0.79,0.86,4.64,0.086,7.19,6.88,5.91,7.72,4.84,0.1,0.93,8.46,0,50.1,0.077,1.28,1.57,0,10.2,0,0,12.7,1.91,3.57,0,6.46,0.27,2.65,24.1,4.67,40.9,0.00738,7.95,19.9,15.3,18.2,0.76,8.45,63.6,13.2,64.1,2.16,7.79,89.6,54.1,52.2,0,8.37,39.9,26.9,47.7,0,5.92,22.1,16.7,28.8
44478,67,21,64.9,34.4,0.093,0.36,3.1,14.7,2.66,37.5,19.2,42.1,23.2,31.8,14.6,2.5,30.2,19.2,9.91,78.4,2.43,5.09,1.17,0.72,3.2,0,0.15,0.053,0.32,0,7.18,5.95,10.8,5.24,5.24,3.81,7.58,5.24,1.08,0.19,15.5,72,0,74.7,0.32,5.13,5.41,0,2.5,0,4.05,16.2,1.45,2.33,2.33,5.1,0.00744,2.72,18.8,3.23,27.8,0,9.15,10.2,7.3,14.3,0.013,8.62,53.8,9.56,55.1,0,14.3,71.4,40.8,49.8,0,9.01,25.5,17.8,40.2,0,6.65,9.73,7.23,9.69
44490,84,10.9,73.3,26.1,0.17,1.64,5.89,10.4,2.7,32.2,16.3,54,26.4,16.7,14.2,6.12,21.9,28.3,12.5,95.4,0.25,0.55,0.46,0.23,1.94,4.84,0.24,0.08,0.65,4.84,2.76,1.39,6.18,1.66,2.63,1.49,3.33,5.32,2.12,0.095,1.81,3.53,0,80.6,0.073,1.4,0.48,0,11.6,0,0,5.33,1.7,4.55,0,4.88,0.23,1.51,11.5,3.11,18.2,0.094,7.17,8.28,6.34,17.1,0.82,5.96,42.2,11.3,77.4,3.08,8.72,83.1,68.2,42.7,0.18,7.12,25.9,18.1,36.7,0.22,4.82,17.3,13.7,3.44
